
Index    Rcvd     Predict   Expect
---------------------------------------
0        2523     2523      2523
1        2515     2515      2515
2        2055     2055      2055
3        2267     2267      2267
4        2379     2379      2379
5        2183     2183      2183
6        2003     2003      2003
7        1891     1891      1891
8        2143     2143      2143
9        2223     2223      2223
10       2347     2347      2347
11       2143     2143      2143
12       1831     1831      1831
13          0     2019      2035
14          0     2207      2171
15       2395     2395      2395
16       2203     2203      2203
17       2307     2307      2307
18       2259     2259      2259
19       2335     2335      2335
20          0     2381      2371
21       2427     2427      2427
22       2303     2303      2303
23          0     2307      2363
24          0     2311      2291
25          0     2315      2115
26          0     2319      2075
27          0     2323      2239
28          0     2327      2299
29          0     2331      2299
30          0     2335      2219
31          0     2339      2479
32          0     2343      2531
33          0     2347      2175
34          0     2351      1979
35          0     2355      2051
36          0     2359      2155
37          0     2362      2175
38          0     2365      1431
39          0     2368      2083
40       2371     2371      2371
41          0     2311      2563
42          0     2251      2635
43          0     2191      2267
44          0     2131      1911
45          0     2071      1951
46          0     2011      2163
47          0     1951      2267
48       1891     1891      1891
49       1791     1791      1791
50       2219     2219      2219
51       2375     2375      2375
52       2447     2447      2447
53          0     2430      2415
54          0     2413      2199
55          0     2396      2003
56          0     2379      2091
57          0     2362      2143
58          0     2345      2171
59          0     2328      1919
60          0     2311      2223
61       2295     2295      2295
62          0     2298      2391
63          0     2301      2451
64          0     2304      2359
65          0     2307      1919
66          0     2310      2147
67          0     2313      2279
68       2315     2315      2315
69       1867     1867      1867
70       2147     2147      2147
71       2435     2435      2435
72       2547     2547      2547
73       2523     2523      2523
74       1951     1951      1951
75       2067     2067      2067
76       2247     2247      2247
77       2315     2315      2315
78          0     2342      2103
79          0     2369      2131
80          0     2396      2311
81          0     2423      2343
82          0     2449      2447
83       2475     2475      2475
84       2519     2519      2519
85       2227     2227      2227
86       1823     1823      1823
87       2139     2139      2139
88       2171     2171      2171
89       2315     2315      2315
90       2007     2007      2007
91       1807     1807      1807
92       2307     2307      2307
93          0     2303      2419
94          0     2299      2527
95          0     2295      2007
96          0     2291      1823
97          0     2287      2231
98          0     2283      2459
99          0     2279      1903
100         0     2275      1451
101         0     2271      2079
102         0     2267      2435
103         0     2263      2363
104         0     2259      2407
105         0     2255      2339
106         0     2251      2475
107         0     2247      2011
108         0     2243      2007
109         0     2239      1763
110         0     2236      1807
111         0     2233      2067
112         0     2230      2259
113      2227     2227      2227
114      2227     2227      2227
115      1971     1971      1971
116      1467     1467      1467
117      1527     1527      1527
118         0     1571      2219
119         0     1615      2283
120         0     1659      1927
121         0     1703      2475
122         0     1747      2231
123         0     1791      2327
124         0     1835      1695
125         0     1879      1563
126         0     1923      2275
127         0     1967      2863
128         0     2011      2335
129         0     2055      2059
