
Index    Rcvd     Predict   Expect
---------------------------------------
0        2523     2523      2523
1        2515     2515      2515
2        2055     2055      2055
3        2267     2267      2267
4        2379     2379      2379
5        2183     2183      2183
6           0     2037      2003
7        1891     1891      1891
8           0     2043      2143
9           0     2195      2223
10       2347     2347      2347
11       2143     2143      2143
12       1831     1831      1831
13          0     1903      2035
14          0     1975      2171
15          0     2047      2395
16          0     2119      2203
17          0     2191      2307
18          0     2263      2259
19       2335     2335      2335
20       2371     2371      2371
21          0     2337      2427
22       2303     2303      2303
23       2363     2363      2363
24       2291     2291      2291
25       2115     2115      2115
26       2075     2075      2075
27          0     2156      2239
28          0     2237      2299
29          0     2318      2299
30          0     2399      2219
31       2479     2479      2479
32          0     2327      2531
33       2175     2175      2175
34       1979     1979      1979
35       2051     2051      2051
36          0     2113      2155
37       2175     2175      2175
38          0     2272      1431
39          0     2369      2083
40          0     2466      2371
41       2563     2563      2563
42          0     2483      2635
43          0     2403      2267
44          0     2323      1911
45          0     2243      1951
46       2163     2163      2163
47          0     2027      2267
48       1891     1891      1891
49          0     2055      1791
50       2219     2219      2219
51       2375     2375      2375
52          0     2395      2447
53       2415     2415      2415
54       2199     2199      2199
55       2003     2003      2003
56       2091     2091      2091
57       2143     2143      2143
58       2171     2171      2171
59       1919     1919      1919
60       2223     2223      2223
61       2295     2295      2295
62       2391     2391      2391
63       2451     2451      2451
64          0     2185      2359
65       1919     1919      1919
66          0     2099      2147
67       2279     2279      2279
68       2315     2315      2315
69       1867     1867      1867
70          0     2151      2147
71       2435     2435      2435
72       2547     2547      2547
73       2523     2523      2523
74          0     2295      1951
75       2067     2067      2067
76       2247     2247      2247
77          0     2175      2315
78       2103     2103      2103
79       2131     2131      2131
80       2311     2311      2311
81       2343     2343      2343
82       2447     2447      2447
83       2475     2475      2475
84       2519     2519      2519
85          0     2171      2227
86       1823     1823      1823
87       2139     2139      2139
88          0     2227      2171
89       2315     2315      2315
90          0     2061      2007
91       1807     1807      1807
92          0     2113      2307
93       2419     2419      2419
94          0     2333      2527
95          0     2247      2007
96          0     2161      1823
97          0     2075      2231
98          0     1989      2459
99       1903     1903      1903
100        0      2018      1451
101        0      2133      2079
102        0      2248      2435
103      2363      2363     2363
104      2407      2407     2407
105      2339      2339     2339
106      2475      2475     2475
107        0      2453      2011
108        0      2431      2007
109        0      2409      1763
110        0      2387      1807
111        0      2366      2067
112        0      2345      2259
113        0      2324      2227
114        0      2303      2227
115        0      2282      1971
116        0      2261      1467
117        0      2240      1527
118      2219      2219     2219
119      2283      2283     2283
120      1927      1927     1927
121      2475      2475     2475
122      2231      2231     2231
123      2327      2327     2327
124      1695      1695     1695
125      1563      1563     1563
126      2275      2275     2275
127      2863      2863     2863
