
Index    Rcvd     Predict   Expect
---------------------------------------
0        2523     2523      2523
1        2515     2515      2515
2        2055     2055      2055
3           0     2217      2267
4        2379     2379      2379
5           0     2216      2183
6           0     2053      2003
7        1891     1891      1891
8           0     2043      2143
9           0     2195      2223
10       2347     2347      2347
11          0     2089      2143
12       1831     1831      1831
13          0     2019      2035
14          0     2207      2171
15       2395     2395      2395
16       2203     2203      2203
17       2307     2307      2307
18       2259     2259      2259
19          0     2315      2335
20          0     2371      2371
21       2427     2427      2427
22       2303     2303      2303
23       2363     2363      2363
24          0     2267      2291
25          0     2171      2115
26       2075     2075      2075
27          0     2187      2239
28       2299     2299      2299
29       2299     2299      2299
30       2219     2219      2219
31          0     2375      2479
32       2531     2531      2531
33          0     2255      2175
34       1979     1979      1979
35          0     2045      2051
36          0     2110      2155
37       2175     2175      2175
38       1431     1431      1431
39          0     1732      2083
40          0     2033      2371
41          0     2334      2563
42       2635     2635      2635
43          0     2273      2267
44       1911     1911      1911
45          0     2030      1951
46          0     2149      2163
47       2267     2267      2267
48          0     2029      1891
49       1791     1791      1791
50          0     2010      2219
51          0     2229      2375
52       2447     2447      2447
53          0     2299      2415
54          0     2151      2199
55       2003     2003      2003
56          0     2059      2091
57          0     2115      2143
58       2171     2171      2171
59       1919     1919      1919
60          0     2052      2223
61          0     2185      2295
62          0     2318      2391
63       2451     2451      2451
64          0     2185      2359
65       1919     1919      1919
66          0     2051      2147
67          0     2183      2279
68       2315     2315      2315
69       1867     1867      1867
70          0     2094      2147
71          0     2321      2435
72       2547     2547      2547
73          0     2249      2523
74       1951     1951      1951
75          0     2073      2067
76          0     2194      2247
77       2315     2315      2315
78       2103     2103      2103
79          0     2173      2131
80          0     2243      2311
81          0     2312      2343
82          0     2381      2447
83          0     2450      2475
84       2519     2519      2519
85          0     2171      2227
86       1823     1823      1823
87          0     1987      2139
88          0     2151      2171
89       2315     2315      2315
90          0     2061      2007
91       1807     1807      1807
92          0     2047      2307
93          0     2287      2419
94       2527     2527      2527
95          0     2175      2007
96       1823     1823      1823
97          0     2141      2231
98       2459     2459      2459
99          0     1955      1903
100      1451     1451      1451
101         0     1943      2079
102      2435     2435      2435
103      2363     2363      2363
104      2407     2407      2407
105      2339     2339      2339
106      2475     2475      2475
107         0     2237      2011
108         0     2000      2007
109      1763     1763      1763
110         0     1929      1807
111         0     2094      2067
112      2259     2259      2259
113      2227     2227      2227
114      2227     2227      2227
115         0     1847      1971
116      1467     1467      1467
117         0     1739      1527
118         0     2011      2219
119      2283     2283      2283
120      1927     1927      1927
121      2475     2475      2475
122      2231     2231      2231
123      2327     2327      2327
124         0     1945      1695
125      1563     1563      1563
126         0     2213      2275
127      2863     2863      2863
128         0     2547      2335
