
Index    Rcvd     Predict   Expect
292      2263     2263      2263
293      2099     2099      2099
294      2183     2183      2183
295      2579     2579      2579
296      2755     2755      2755
297      2603     2603      2603
298      2491     2491      2491
299      2327     2327      2327
300      2339     2339      2339
301      2435     2435      2435
302      2463     2463      2463
303      2283     2283      2283
304      2079     2079      2079
305      2071     2071      2071
306      2331     2331      2331
307      2415     2415      2415
308         0     2483      2479
309      2551     2551      2551
310      2439     2439      2439
311      2527     2527      2527
312      2383     2383      2383
313         0     2309      2251
314      2235     2235      2235
315      2291     2291      2291
316      2327     2327      2327
317      2175     2175      2175
318      2075     2075      2075
319      2259     2259      2259
320      2399     2399      2399
321      2451     2451      2451
322      2511     2511      2511
323      2599     2599      2599
324      2495     2495      2495
325      1711     1711      1711
326      1495     1495      1495
327      2087     2087      2087
328      2051     2051      2051
329      2083     2083      2083
330      1707     1707      1707
331      1855     1855      1855
332      2163     2163      2163
333      2363     2363      2363
334      2387     2387      2387
335      2443     2443      2443
336      1967     1967      1967
337      1423     1423      1423
338      1959     1959      1959
339      2367     2367      2367
340      2243     2243      2243
341      2223     2223      2223
342         0     2273      1787
343         0     2323      1091
344         0     2372      1907
345         0     2421      2263
346         0     2470      2507
347      2519     2519      2519
348      2759     2759      2759
349      1059     1059      1059
350      1319     1319      1319
351      2531     2531      2531
352      2603     2603      2603
353      2351     2351      2351
354      2019     2019      2019
355      1507     1507      1507
356      1971     1971      1971
357      2503     2503      2503
358      1795     1795      1795
359      1479     1479      1479
360      1919     1919      1919
361      2399     2399      2399
362      1995     1995      1995
363      1883     1883      1883
364      1635     1635      1635
365      1671     1671      1671
366      2303     2303      2303
367      2543     2543      2543
368      2595     2595      2595
369      2471     2471      2471
370      1715     1715      1715
371      1075     1075      1075
372      1302     1302      1302
373      1867     1867      1867
374      1795     1795      1795
375      1695     1695      1695
376      1763     1763      1763
377      1550     1550      1550
378      2323     2323      2323
379      2343     2343      2343
380      2287     2287      2287
381      1335     1335      1335
382      1935     1935      1935
383      2179     2179      2179
384      1911     1911      1911
385      1499     1499      1499
386         0     1755      1807
387      2011     2011      2011
388      2619     2619      2619
389      2675     2675      2675
390      2635     2635      2635
391      2003     2003      2003
392      1423     1423      1423
393      1871     1871      1871
394      2159     2159      2159
395      1975     1975      1975
396      1627     1627      1627
397      1971     1971      1971
398      2423     2423      2423
399      2603     2603      2603
400      2515     2515      2515
401      1507     1507      1507
402      1823     1823      1823
403         0     1947      1907
404      2071     2071      2071
405      2115     2115      2115
406      2075     2075      2075
407      1331     1331      1331
408         0     1707      1555
409      2083     2083      2083
410      2671     2671      2671
411      2331     2331      2331
412      2175     2175      2175
413         0     2219      2343
414         0     2262      2115
415         0     2305      1278
416         0     2348      1891
417      2391     2391      2391
418      2635     2635      2635
419      2603     2603      2603
420      2471     2471      2471
421      1699     1699      1699
422      1351     1351      1351
423         0     1462      2251
424         0     1573      2371
425         0     1684      2299
426         0     1795      2351
427         0     1905      2311
428      2015     2015      2015
429      1983     1983      1983
430      2371     2371      2371
431      2307     2307      2307
432      1482     1482      1482
433         0     1522      2199
434         0     1562      2679
435         0     1602      2583
436         0     1641      1967
437         0     1680      1631
438      1719     1719      1719
439      2099     2099      2099
440      2187     2187      2187
441      2007     2007      2007
442      1947     1947      1947
443      1626     1626      1626
444      1771     1771      1771
445      2135     2135      2135
446      2583     2583      2583
447      2667     2667      2667
448      2183     2183      2183
449      1543     1543      1543
450      1511     1511      1511
451      1699     1699      1699
452      2255     2255      2255
453      2151     2151      2151
454      1599     1599      1599
455      1951     1951      1951
456      2483     2483      2483
457      2531     2531      2531
458      2671     2671      2671
459      2567     2567      2567
460      1471     1471      1471
461      1195     1195      1195
462      2407     2407      2407
463      2507     2507      2507
464      2427     2427      2427
465      2015     2015      2015
466      1763     1763      1763
467      2303     2303      2303
468         0     2535      2519
469      2767     2767      2767
470      2475     2475      2475
471      1463     1463      1463
472      1367     1367      1367
473      1975     1975      1975
474      2319     2319      2319
475      2419     2419      2419
476      2351     2351      2351
477      1167     1167      1167
478         0     1245      1935
479         0     1323      2467
480         0     1401      2603
481         0     1479      2455
482         0     1557      1087
483      1635     1635      1635
484      2339     2339      2339
485      2295     2295      2295
486      1919     1919      1919
487      1391     1391      1391
488      2255     2255      2255
489         0     2441      2419
490      2627     2627      2627
491      2555     2555      2555
492      1803     1803      1803
493      1150     1150      1150
494      1323     1323      1323
495      1915     1915      1915
496      2183     2183      2183
497         0     2287      2303
498      2391     2391      2391
499      1651     1651      1651
500      1118     1118      1118
501      1671     1671      1671
502      2407     2407      2407
503      2635     2635      2635
504      2615     2615      2615
505      1591     1591      1591
506      1419     1419      1419
507      1611     1611      1611
508      2035     2035      2035
509      2395     2395      2395
510      2031     2031      2031
511      1339     1339      1339
512      1967     1967      1967
513         0     2233      2307
514         0     2498      2579
515      2763     2763      2763
516      2199     2199      2199
517         0     2193      1679
518         0     2187      1395
519         0     2181      1855
520         0     2176      2103
521      2171     2171      2171
522         0     2061      2199
523      1951     1951      1951
524      1863     1863      1863
525      2383     2383      2383
526      2399     2399      2399
527      2615     2615      2615
528      2651     2651      2651
529      1715     1715      1715
530      1755     1755      1755
531      2007     2007      2007
532      2267     2267      2267
533      2111     2111      2111
534      1419     1419      1419
535      1279     1279      1279
536      2579     2579      2579
537      2435     2435      2435
538      2119     2119      2119
539      2251     2251      2251
540      2119     2119      2119
541      1447     1447      1447
542      1763     1763      1763
543      2631     2631      2631
544      2583     2583      2583
545      2263     2263      2263
546      1959     1959      1959
547      1651     1651      1651
548         0     1805      2227
549         0     1959      2207
550         0     2112      1503
551         0     2265      1779
552         0     2418      2343
553      2571     2571      2571
554      2419     2419      2419
555      1919     1919      1919
556      1651     1651      1651
557      1707     1707      1707
558      2083     2083      2083
559      2243     2243      2243
560         0     2111      2115
561      1979     1979      1979
562      1751     1751      1751
563      1755     1755      1755
564         0     2041      2063
565         0     2326      2291
566      2611     2611      2611
567      2611     2611      2611
568         0     2131      1959
569      1651     1651      1651
570         0     1883      1687
571         0     2115      2251
572      2347     2347      2347
573         0     2067      1199
574      1787     1787      1787
575      1855     1855      1855
576      2411     2411      2411
577         0     2529      2507
578      2647     2647      2647
579      2515     2515      2515
580      2271     2271      2271
581      1591     1591      1591
582      1559     1559      1559
583      1923     1923      1923
584      2267     2267      2267
585      2407     2407      2407
586      1795     1795      1795
587      1495     1495      1495
588      2355     2355      2355
589      2599     2599      2599
590      2675     2675      2675
591      1591     1591      1591
592      1266     1266      1266
593      2171     2171      2171
594      2131     2131      2131
595      2259     2259      2259
596      1186     1186      1186
597      2171     2171      2171
598         0     2511      2427
599      2851     2851      2851
600      2831     2831      2831
601      2019     2019      2019
602      1959     1959      1959
603      2235     2235      2235
604      2231     2231      2231
605      2048     2048      2048
606      1691     1691      1691
607      2227     2227      2227
608      2543     2543      2543
609      2651     2651      2651
610      2351     2351      2351
611      1535     1535      1535
612      1639     1639      1639
613      2167     2167      2167
614      2351     2351      2351
615      2087     2087      2087
616      1599     1599      1599
617      2251     2251      2251
618      2455     2455      2455
619      2491     2491      2491
620      2379     2379      2379
621      1727     1727      1727
622      2087     2087      2087
623      2167     2167      2167
624      2151     2151      2151
625      2127     2127      2127
626      1759     1759      1759
627      1631     1631      1631
628      2339     2339      2339
629      2651     2651      2651
630      2607     2607      2607
631      2059     2059      2059
632      1711     1711      1711
633      1731     1731      1731
634      2007     2007      2007
635      2339     2339      2339
636      1671     1671      1671
637      1739     1739      1739
638      2175     2175      2175
639      2483     2483      2483
640      2507     2507      2507
641      2475     2475      2475
642      2343     2343      2343
643      2407     2407      2407
644      2327     2327      2327
645      2123     2123      2123
646      2139     2139      2139
647      1947     1947      1947
648      1775     1775      1775
649      2619     2619      2619
650      2951     2951      2951
651      2231     2231      2231
652      1991     1991      1991
653      1655     1655      1655
654      2059     2059      2059
655      2203     2203      2203
656      2203     2203      2203
657      2307     2307      2307
658      1179     1179      1179
659      1955     1955      1955
660         0     2313      2327
661      2671     2671      2671
662      2307     2307      2307
663         0     2270      1631
664         0     2233      1575
665         0     2196      1803
666         0     2159      2139
667         0     2123      2155
668      2087     2087      2087
669      1703     1703      1703
670      1607     1607      1607
671      1703     1703      1703
672      2359     2359      2359
673      2703     2703      2703
674      2383     2383      2383
675      1831     1831      1831
